Problem Size,Execution Time (s)
10,0.005
20,0.016
30,0.032
40,0.053
50,0.076
60,0.105
70,0.149
80,0.182
90,0.231
100,0.274
110,0.320
120,0.359
130,0.399
140,0.461
150,0.496
160,0.535
170,0.599
180,0.662
190,0.731
200,0.791
210,0.845
220,0.888
230,0.949
240,0.962
250,1.076
260,1.135
270,1.191
280,1.223
290,1.355
300,1.387
310,1.436
320,1.453
330,1.576
340,1.672
350,1.721
360,1.758
370,1.806
380,1.889
390,1.884
400,1.921
410,2.024
420,2.140
430,2.142
440,2.228
450,2.328
460,2.385
470,2.459
480,2.442
490,2.534
500,2.557
