Problem Size,Execution Time (s)
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,0.000
18,0.000
19,0.000
20,0.000
21,0.001
22,0.001
23,0.001
24,0.001
25,0.001
26,0.001
27,0.001
28,0.001
29,0.002
30,0.002
31,0.002
32,0.002
33,0.002
34,0.003
35,0.003
36,0.003
37,0.004
38,0.004
39,0.004
40,0.005
41,0.005
42,0.006
43,0.007
44,0.007
45,0.007
46,0.008
47,0.009
48,0.010
49,0.011
50,0.011
51,0.011
52,0.012
53,0.015
54,0.015
55,0.015
56,0.016
57,0.017
58,0.020
59,0.020
60,0.021
61,0.022
62,0.025
63,0.025
64,0.026
65,0.028
66,0.031
67,0.031
68,0.033
69,0.037
70,0.038
71,0.039
72,0.041
73,0.046
74,0.045
75,0.048
76,0.051
77,0.053
78,0.054
79,0.061
80,0.062
81,0.061
82,0.067
83,0.068
84,0.071
85,0.076
86,0.079
87,0.080
88,0.085
89,0.091
90,0.091
91,0.096
92,0.098
93,0.104
94,0.114
95,0.112
96,0.117
97,0.126
98,0.123
99,0.128
100,0.133
101,0.137
102,0.143
103,0.146
104,0.156
105,0.158
106,0.178
107,0.185
108,0.175
109,0.180
110,0.188
111,0.195
112,0.200
113,0.206
114,0.215
115,0.226
116,0.234
117,0.232
118,0.245
119,0.248
120,0.257
121,0.266
122,0.284
123,0.276
124,0.307
125,0.293
126,0.304
127,0.311
128,0.339
129,0.380
130,0.359
131,0.372
132,0.382
133,0.393
134,0.403
135,0.414
136,0.421
137,0.435
138,0.443
139,0.461
140,0.466
141,0.485
142,0.526
143,0.548
144,0.552
145,0.571
146,0.540
147,0.560
148,0.566
149,0.589
150,0.600
151,0.616
152,0.707
153,0.645
154,0.652
155,0.677
156,0.682
157,0.713
158,0.721
159,0.741
160,0.758
161,0.780
162,0.819
163,0.814
164,0.819
165,0.842
166,0.849
167,0.877
168,0.892
169,0.919
170,0.924
171,0.953
172,0.962
173,0.999
174,1.104
175,1.126
176,1.087
177,1.129
178,1.142
179,1.118
180,1.127
181,1.173
182,1.171
183,1.257
184,1.215
185,1.268
186,1.264
187,1.302
188,1.318
189,1.357
190,1.360
191,1.405
192,1.520
193,1.448
194,1.472
195,1.507
196,1.514
197,1.563
198,1.575
199,1.665
200,1.638
